Player,Team,Affiliation,Year,Round Number,Round Pick,Overall Pick,Team Abbreviation
AJ Price,Indiana Pacers,Connecticut,2009,2,22,52,IND
Nando De Colo,San Antonio Spurs,Cholet Basket (France),2009,2,23,53,SAS
Robert Vaden,Charlotte Bobcats,Alabama-Birmingham,2009,2,24,54,CHA
Patty Mills,Portland Trail Blazers,St. Mary's (CA),2009,2,25,55,POR
Ahmad Nivins,Dallas Mavericks,Saint Joseph's,2009,2,26,56,DAL
Emir Preldzic,Phoenix Suns,Fenerbahce S.K. (Turkey),2009,2,27,57,PHX
Lester Hudson,Boston Celtics,Tennessee-Martin,2009,2,28,58,BOS
Chinemelu Elonu,Los Angeles Lakers,Texas A&M,2009,2,29,59,LAL
Robert Dozier,Miami Heat,Memphis,2009,2,30,60,MIA
Derrick Rose,Chicago Bulls,Memphis,2008,1,1,1,CHI
Michael Beasley,Miami Heat,Kansas State,2008,1,2,2,MIA
O.J. Mayo,Minnesota Timberwolves,Southern California,2008,1,3,3,MIN
Russell Westbrook,Oklahoma City Thunder,California-Los Angeles,2008,1,4,4,OKC
Kevin Love,Memphis Grizzlies,California-Los Angeles,2008,1,5,5,MEM
Danilo Gallinari,New York Knicks,Olimpia Milano (Italy),2008,1,6,6,NYK
Eric Gordon,Los Angeles Clippers,Indiana,2008,1,7,7,LAC
Joe Alexander,Milwaukee Bucks,West Virginia,2008,1,8,8,MIL
D.J. Augustin,Charlotte Bobcats,Texas,2008,1,9,9,CHA
Brook Lopez,New Jersey Nets,Stanford,2008,1,10,10,NJN
Jerryd Bayless,Indiana Pacers,Arizona,2008,1,11,11,IND
Jason Thompson,Sacramento Kings,Rider,2008,1,12,12,SAC
Brandon Rush,Portland Trail Blazers,Kansas,2008,1,13,13,POR
Anthony Randolph,Golden State Warriors,Louisiana State,2008,1,14,14,GSW
Robin Lopez,Phoenix Suns,Stanford,2008,1,15,15,PHX
Marreese Speights,Philadelphia 76Ers,Florida,2008,1,16,16,PHI
Roy Hibbert,Toronto Raptors,Georgetown,2008,1,17,17,TOR
JaVale McGee,Washington Wizards,Nevada-Reno,2008,1,18,18,WAS
JJ Hickson,Cleveland Cavaliers,North Carolina State,2008,1,19,19,CLE
Alexis Ajinca,Charlotte Bobcats,Hyeres-Toulon Var Basket (France),2008,1,20,20,CHA
Ryan Anderson,New Jersey Nets,California,2008,1,21,21,NJN
Courtney Lee,Orlando Magic,Western Kentucky,2008,1,22,22,ORL
Kosta Koufos,Utah Jazz,Ohio State,2008,1,23,23,UTA
Serge Ibaka,Oklahoma City Thunder,CB L'Hospitalet (Spain),2008,1,24,24,OKC
Nicolas Batum,Houston Rockets,Le Mans Sarthe Basket (France),2008,1,25,25,HOU
George Hill,San Antonio Spurs,IUPUI,2008,1,26,26,SAS
Darrell Arthur,New Orleans Hornets,Kansas,2008,1,27,27,NOP
Donte Greene,Memphis Grizzlies,Syracuse,2008,1,28,28,MEM
DJ White,Detroit Pistons,Indiana,2008,1,29,29,DET
J.R. Giddens,Boston Celtics,New Mexico,2008,1,30,30,BOS
Nikola Pekovic,Minnesota Timberwolves,KK Partizan (Serbia),2008,2,1,31,MIN
Walter Sharpe,Oklahoma City Thunder,Alabama-Birmingham,2008,2,2,32,OKC
Joey Dorsey,Portland Trail Blazers,Memphis,2008,2,3,33,POR
Mario Chalmers,Minnesota Timberwolves,Kansas,2008,2,4,34,MIN
DeAndre Jordan,Los Angeles Clippers,Texas A&M,2008,2,5,35,LAC
Omer Asik,Portland Trail Blazers,Fenerbahce S.K. (Turkey),2008,2,6,36,POR
Luc Mbah a Moute,Milwaukee Bucks,California-Los Angeles,2008,2,7,37,MIL
Kyle Weaver,Charlotte Bobcats,Washington State,2008,2,8,38,CHA
Sonny Weems,Chicago Bulls,Arkansas,2008,2,9,39,CHI
Chris Douglas-Roberts,New Jersey Nets,Memphis,2008,2,10,40,NJN
Nathan Jawai,Indiana Pacers,Cairns Taipans (Australia),2008,2,11,41,IND
Sean Singletary,Sacramento Kings,Virginia,2008,2,12,42,SAC
Patrick Ewing,Sacramento Kings,Georgetown,2008,2,13,43,SAC
Ante Tomic,Utah Jazz,KK Zagreb (Croatia),2008,2,14,44,UTA
Goran Dragic,San Antonio Spurs,KK Olimpija (Slovenia),2008,2,15,45,SAS
Trent Plaisted,Oklahoma City Thunder,Brigham Young,2008,2,16,46,OKC
Henry Walker,Washington Wizards,Kansas State,2008,2,17,47,WAS
Malik Hairston,Phoenix Suns,Oregon,2008,2,18,48,PHX
Richard Hendrix,Golden State Warriors,Alabama,2008,2,19,49,GSW
DeVon Hardin,Oklahoma City Thunder,California,2008,2,20,50,OKC
Shan Foster,Dallas Mavericks,Vanderbilt,2008,2,21,51,DAL
Darnell Jackson,Miami Heat,Kansas,2008,2,22,52,MIA
Tadija Dragicevic,Utah Jazz,KK Crvena zvezda (Serbia),2008,2,23,53,UTA
Maarty Leunen,Houston Rockets,Oregon,2008,2,24,54,HOU
Mike Taylor,Portland Trail Blazers,Idaho Stampede (D-League),2008,2,25,55,POR
Sasha Kaun,Oklahoma City Thunder,Kansas,2008,2,26,56,OKC
James Gist,San Antonio Spurs,Maryland,2008,2,27,57,SAS
Joe Crawford,Los Angeles Lakers,Kentucky,2008,2,28,58,LAL
Deron Washington,Detroit Pistons,Virginia Tech,2008,2,29,59,DET
Semih Erden,Boston Celtics,Fenerbahce S.K. (Turkey),2008,2,30,60,BOS
Greg Oden,Portland Trail Blazers,Ohio State,2007,1,1,1,POR
Kevin Durant,Seattle Supersonics,Texas,2007,1,2,2,SSS
Al Horford,Atlanta Hawks,Florida,2007,1,3,3,ATL
Mike Conley,Memphis Grizzlies,Ohio State,2007,1,4,4,MEM
Jeff Green,Boston Celtics,Georgetown,2007,1,5,5,BOS
Yi Jianlian,Milwaukee Bucks,Guangdong Southern Tigers (China),2007,1,6,6,MIL
Corey Brewer,Minnesota Timberwolves,Florida,2007,1,7,7,MIN
Brandan Wright,Charlotte Bobcats,North Carolina,2007,1,8,8,CHA
Joakim Noah,Chicago Bulls,Florida,2007,1,9,9,CHI
Spencer Hawes,Sacramento Kings,Washington,2007,1,10,10,SAC
Acie Law,Atlanta Hawks,Texas A&M,2007,1,11,11,ATL
Thaddeus Young,Philadelphia 76Ers,Georgia Tech,2007,1,12,12,PHI
Julian Wright,New Orleans Hornets,Kansas,2007,1,13,13,NOP
Al Thornton,Los Angeles Clippers,Florida State,2007,1,14,14,LAC
Rodney Stuckey,Detroit Pistons,Eastern Washington,2007,1,15,15,DET
Nick Young,Washington Wizards,Southern California,2007,1,16,16,WAS
Sean Williams,New Jersey Nets,Boston College,2007,1,17,17,NJN
Marco Belinelli,Golden State Warriors,Fortitudo Pallacanestro Bologna (Italy),2007,1,18,18,GSW
Javaris Crittenton,Los Angeles Lakers,Georgia Tech,2007,1,19,19,LAL
Jason Smith,Miami Heat,Colorado State,2007,1,20,20,MIA
Daequan Cook,Philadelphia 76Ers,Ohio State,2007,1,21,21,PHI
Jared Dudley,Charlotte Bobcats,Boston College,2007,1,22,22,CHA
Wilson Chandler,New York Knicks,DePaul,2007,1,23,23,NYK
Rudy Fernandez,Phoenix Suns,Joventut Badalona (Spain),2007,1,24,24,PHX
Morris Almond,Utah Jazz,Rice,2007,1,25,25,UTA
Aaron Brooks,Houston Rockets,Oregon,2007,1,26,26,HOU
Arron Afflalo,Detroit Pistons,California-Los Angeles,2007,1,27,27,DET
Tiago Splitter,San Antonio Spurs,Saski Baskonia (Spain),2007,1,28,28,SAS
Alando Tucker,Phoenix Suns,Wisconsin,2007,1,29,29,PHX
Petteri Koponen,Philadelphia 76Ers,Espoon Honka (Finland),2007,1,30,30,PHI
Carl Landry,Seattle Supersonics,Purdue,2007,2,1,31,SSS
Gabe Pruitt,Boston Celtics,Southern California,2007,2,2,32,BOS
Marcus Williams,San Antonio Spurs,Arizona,2007,2,3,33,SAS
Nick Fazekas,Dallas Mavericks,Nevada-Reno,2007,2,4,34,DAL
Glen Davis,Seattle Supersonics,Louisiana State,2007,2,5,35,SSS
Jermareo Davidson,Golden State Warriors,Alabama,2007,2,6,36,GSW
Josh McRoberts,Portland Trail Blazers,Duke,2007,2,7,37,POR
Kyrylo Fesenko,Philadelphia 76Ers,Cherkaski Mavpy (Ukraine),2007,2,8,38,PHI
Stanko Barac,Miami Heat,HKK Siroki (Bosnia and Herzegovina),2007,2,9,39,MIA
Sun Sun,Los Angeles Lakers,Beijing Olympians (China),2007,2,10,40,LAL
Chris Richard,Minnesota Timberwolves,Florida,2007,2,11,41,MIN
Derrick Byars,Portland Trail Blazers,Vanderbilt,2007,2,12,42,POR
Adam Haluska,New Orleans Hornets,Iowa,2007,2,13,43,NOP
Reyshawn Terry,Orlando Magic,North Carolina,2007,2,14,44,ORL
Jared Jordan,Los Angeles Clippers,Marist,2007,2,15,45,LAC
Stephane Lasme,Golden State Warriors,Massachusetts,2007,2,16,46,GSW
Dominic McGuire,Washington Wizards,Fresno State,2007,2,17,47,WAS
Marc Gasol,Los Angeles Lakers,CB Sant Josep (Spain),2007,2,18,48,LAL
Aaron Gray,Chicago Bulls,Pittsburgh,2007,2,19,49,CHI
Renaldas Seibutis,Dallas Mavericks,Maroussi B.C. (Greece),2007,2,20,50,DAL
JamesOn Curry,Chicago Bulls,Oklahoma State,2007,2,21,51,CHI
Taurean Green,Portland Trail Blazers,Florida,2007,2,22,52,POR
Demetris Nichols,Portland Trail Blazers,Syracuse,2007,2,23,53,POR
Brad Newley,Houston Rockets,Townsville Crocodiles (Australia),2007,2,24,54,HOU
Herbert Hill,Utah Jazz,Providence,2007,2,25,55,UTA
Ramon Sessions,Milwaukee Bucks,Nevada-Reno,2007,2,26,56,MIL
Sammy Mejia,Detroit Pistons,DePaul,2007,2,27,57,DET
Giorgos Printezis,San Antonio Spurs,Olympiacos B.C. (Greece),2007,2,28,58,SAS
DJ Strawberry,Phoenix Suns,Maryland,2007,2,29,59,PHX
Milovan Rakovic,Dallas Mavericks,KK Mega Leks (Serbia),2007,2,30,60,DAL
Andrea Bargnani,Toronto Raptors,Universo Treviso Basket (Italy),2006,1,1,1,TOR
LaMarcus Aldridge,Chicago Bulls,Texas,2006,1,2,2,CHI
Adam Morrison,Charlotte Bobcats,Gonzaga,2006,1,3,3,CHA
Tyrus Thomas,Portland Trail Blazers,Louisiana State,2006,1,4,4,POR
Shelden Williams,Atlanta Hawks,Duke,2006,1,5,5,ATL
Brandon Roy,Minnesota Timberwolves,Washington,2006,1,6,6,MIN
Randy Foye,Boston Celtics,Villanova,2006,1,7,7,BOS
Rudy Gay,Houston Rockets,Connecticut,2006,1,8,8,HOU
Patrick O'Bryant,Golden State Warriors,Bradley,2006,1,9,9,GSW
Mouhamed Sene,Seattle Supersonics,VOO Wolves Verviers-Pepinster (Belgium),2006,1,10,10,SSS
JJ Redick,Orlando Magic,Duke,2006,1,11,11,ORL
Hilton Armstrong,New Orleans/Oklahoma City Hornets,Connecticut,2006,1,12,12,NOOK
Thabo Sefolosha,Philadelphia 76Ers,Pallacanestro Biella (Italy),2006,1,13,13,PHI
Ronnie Brewer,Utah Jazz,Arkansas,2006,1,14,14,UTA
Cedric Simmons,New Orleans/Oklahoma City Hornets,North Carolina State,2006,1,15,15,NOOK
Rodney Carney,Chicago Bulls,Memphis,2006,1,16,16,CHI
Shawne Williams,Indiana Pacers,Memphis,2006,1,17,17,IND
Oleksiy Pecherov,Washington Wizards,Paris Basket Racing (France),2006,1,18,18,WAS
Quincy Douby,Sacramento Kings,Rutgers,2006,1,19,19,SAC
Renaldo Balkman,New York Knicks,South Carolina,2006,1,20,20,NYK
Rajon Rondo,Phoenix Suns,Kentucky,2006,1,21,21,PHX
Marcus Williams,New Jersey Nets,Connecticut,2006,1,22,22,NJN
Josh Boone,New Jersey Nets,Connecticut,2006,1,23,23,NJN
Kyle Lowry,Memphis Grizzlies,Villanova,2006,1,24,24,MEM
Shannon Brown,Cleveland Cavaliers,Michigan State,2006,1,25,25,CLE
Jordan Farmar,Los Angeles Lakers,California-Los Angeles,2006,1,26,26,LAL
Sergio Rodriguez,Phoenix Suns,CB Estudiantes (Spain),2006,1,27,27,PHX
Maurice Ager,Dallas Mavericks,Michigan State,2006,1,28,28,DAL
Mardy Collins,New York Knicks,Temple,2006,1,29,29,NYK
Joel Freeland,Portland Trail Blazers,CB Gran Canaria (Spain),2006,1,30,30,POR
James White,Portland Trail Blazers,Cincinnati,2006,2,1,31,POR
Steve Novak,Houston Rockets,Marquette,2006,2,2,32,HOU
Solomon Jones,Atlanta Hawks,South Florida,2006,2,3,33,ATL
Paul Davis,Los Angeles Clippers,Michigan State,2006,2,4,34,LAC
P.J. Tucker,Toronto Raptors,Texas,2006,2,5,35,TOR
Craig Smith,Minnesota Timberwolves,Boston College,2006,2,6,36,MIN
Bobby Jones,Minnesota Timberwolves,Washington,2006,2,7,37,MIN
Kosta Perovic,Golden State Warriors,KK Partizan (Serbia),2006,2,8,38,GSW
David Noel,Milwaukee Bucks,North Carolina,2006,2,9,39,MIL
Denham Brown,Seattle Supersonics,Connecticut,2006,2,10,40,SSS
James Augustine,Orlando Magic,Illinois,2006,2,11,41,ORL
Daniel Gibson,Cleveland Cavaliers,Texas,2006,2,12,42,CLE
Marcus Vinicius,New Orleans/Oklahoma City Hornets,Objetivo Sao Carlos (Brazil),2006,2,13,43,NOOK
Lior Eliyahu,Orlando Magic,Hapoel Galil Elyon (Israel),2006,2,14,44,ORL
Alexander Johnson,Indiana Pacers,Florida State,2006,2,15,45,IND
Dee Brown,Utah Jazz,Illinois,2006,2,16,46,UTA
Paul Millsap,Utah Jazz,Louisiana Tech,2006,2,17,47,UTA
Vladimir Veremeenko,Washington Wizards,CB Cornella (Spain),2006,2,18,48,WAS
Leon Powe,Denver Nuggets,California,2006,2,19,49,DEN
Ryan Hollins,Charlotte Bobcats,California-Los Angeles,2006,2,20,50,CHA
Cheikh Samb,Los Angeles Lakers,CB Cornella (Spain),2006,2,21,51,LAL
Guillermo Diaz,Los Angeles Clippers,Miami (FL),2006,2,22,52,LAC
Yotam Halperin,Seattle Supersonics,KK Olimpija (Slovenia),2006,2,23,53,SSS
Hassan Adams,New Jersey Nets,Arizona,2006,2,24,54,NJN
Ejike Ugboaja,Cleveland Cavaliers,Union Bank Lagos B.C. (Nigeria),2006,2,25,55,CLE
Edin Bavcic,Toronto Raptors,KK Bosna Royal (Bosnia and Herzegovina),2006,2,26,56,TOR
Loukas Mavrokefalidis,Minnesota Timberwolves,P.A.O.K. B.C. (Greece),2006,2,27,57,MIN
JR Pinnock,Dallas Mavericks,George Washington,2006,2,28,58,DAL
Damir Markota,San Antonio Spurs,KK Cibona (Croatia),2006,2,29,59,SAS
Will Blalock,Detroit Pistons,Iowa State,2006,2,30,60,DET
Andrew Bogut,Milwaukee Bucks,Utah,2005,1,1,1,MIL
Marvin Williams,Atlanta Hawks,North Carolina,2005,1,2,2,ATL
Deron Williams,Utah Jazz,Illinois,2005,1,3,3,UTA
Chris Paul,New Orleans/Oklahoma City Hornets,Wake Forest,2005,1,4,4,NOOK
Raymond Felton,Charlotte Bobcats,North Carolina,2005,1,5,5,CHA
Martell Webster,Portland Trail Blazers,Seattle Preparatory School,2005,1,6,6,POR
Charlie Villanueva,Toronto Raptors,Connecticut,2005,1,7,7,TOR
Channing Frye,New York Knicks,Arizona,2005,1,8,8,NYK
Ike Diogu,Golden State Warriors,Arizona State,2005,1,9,9,GSW
Andrew Bynum,Los Angeles Lakers,Saint Joseph,2005,1,10,10,LAL
Fran Vazquez,Orlando Magic,Baloncesto Malaga (Spain),2005,1,11,11,ORL
Yaroslav Korolev,Los Angeles Clippers,PBC CSKA Moscow (Russia),2005,1,12,12,LAC
Sean May,Charlotte Bobcats,North Carolina,2005,1,13,13,CHA
Rashad McCants,Minnesota Timberwolves,North Carolina,2005,1,14,14,MIN
Antoine Wright,New Jersey Nets,Texas A&M,2005,1,15,15,NJN
Joey Graham,Toronto Raptors,Oklahoma State,2005,1,16,16,TOR
Danny Granger,Indiana Pacers,New Mexico,2005,1,17,17,IND
Gerald Green,Boston Celtics,Gulf Shores Academy,2005,1,18,18,BOS
Hakim Warrick,Memphis Grizzlies,Syracuse,2005,1,19,19,MEM
Julius Hodge,Denver Nuggets,North Carolina State,2005,1,20,20,DEN
Nate Robinson,Phoenix Suns,Washington,2005,1,21,21,PHX
Jarrett Jack,Denver Nuggets,Georgia Tech,2005,1,22,22,DEN
Francisco Garcia,Sacramento Kings,Louisville,2005,1,23,23,SAC
Luther Head,Houston Rockets,Illinois,2005,1,24,24,HOU
Johan Petro,Seattle Supersonics,Elan Bearnais Pau-Orthez (France),2005,1,25,25,SSS
Jason Maxiell,Detroit Pistons,Cincinnati,2005,1,26,26,DET
Linas Kleiza,Portland Trail Blazers,Missouri,2005,1,27,27,POR
Ian Mahinmi,San Antonio Spurs,STB Le Havre (France),2005,1,28,28,SAS
Wayne Simien,Miami Heat,Kansas,2005,1,29,29,MIA
David Lee,New York Knicks,Florida,2005,1,30,30,NYK
Salim Stoudamire,Atlanta Hawks,Arizona,2005,2,1,31,ATL
Daniel Ewing,Los Angeles Clippers,Duke,2005,2,2,32,LAC
Brandon Bass,New Orleans/Oklahoma City Hornets,Louisiana State,2005,2,3,33,NOOK
CJ Miles,Utah Jazz,Skyline,2005,2,4,34,UTA
Ricky Sanchez,Portland Trail Blazers,IMG Academy,2005,2,5,35,POR
Ersan Ilyasova,Milwaukee Bucks,Ulkerspor (Turkey),2005,2,6,36,MIL
Ronny Turiaf,Los Angeles Lakers,Gonzaga,2005,2,7,37,LAL
Travis Diener,Orlando Magic,Marquette,2005,2,8,38,ORL
Von Wafer,Los Angeles Lakers,Florida State,2005,2,9,39,LAL
Monta Ellis,Golden State Warriors,Lanier,2005,2,10,40,GSW
Roko Ukic,Toronto Raptors,KK Split (Croatia),2005,2,11,41,TOR
Chris Taft,Golden State Warriors,Pittsburgh,2005,2,12,42,GSW
Mile Ilic,New Jersey Nets,KK FMP (Serbia),2005,2,13,43,NJN
Martynas Andriuskevicius,Orlando Magic,BC Zalgiris (Lithuania),2005,2,14,44,ORL
Lou Williams,Philadelphia 76Ers,South Gwinnett,2005,2,15,45,PHI
Erazem Lorbek,Indiana Pacers,Fortitudo Pallacanestro Bologna (Italy),2005,2,16,46,IND
Bracey Wright,Minnesota Timberwolves,Indiana,2005,2,17,47,MIN
Mickael Gelabale,Seattle Supersonics,Real Madrid Baloncesto (Spain),2005,2,18,48,SSS
Andray Blatche,Washington Wizards,South Kent School,2005,2,19,49,WAS
Ryan Gomes,Boston Celtics,Providence,2005,2,20,50,BOS
Robert Whaley,Utah Jazz,Walsh,2005,2,21,51,UTA
Axel Hervelle,Denver Nuggets,Real Madrid Baloncesto (Spain),2005,2,22,52,DEN
Orien Greene,Boston Celtics,Louisiana-Lafayette,2005,2,23,53,BOS
Dijon Thompson,New York Knicks,California-Los Angeles,2005,2,24,54,NYK
Lawrence Roberts,Seattle Supersonics,Mississippi,2005,2,25,55,SSS
Amir Johnson,Detroit Pistons,Westchester,2005,2,26,56,DET
Marcin Gortat,Phoenix Suns,Koln 99ers (Germany),2005,2,27,57,PHX
Uros Slokar,Toronto Raptors,Pallalcesto Amatori Udine (Italy),2005,2,28,58,TOR
Cenk Akyol,Atlanta Hawks,Anadolu Efes S.K. (Turkey),2005,2,29,59,ATL
Alex Acker,Detroit Pistons,Pepperdine,2005,2,30,60,DET
Dwight Howard,Orlando Magic,Southwest Atlanta Christian Academy,2004,1,1,1,ORL
Emeka Okafor,Charlotte Bobcats,Connecticut,2004,1,2,2,CHA
Ben Gordon,Chicago Bulls,Connecticut,2004,1,3,3,CHI
Shaun Livingston,Los Angeles Clippers,Peoria,2004,1,4,4,LAC
Devin Harris,Washington Wizards,Wisconsin,2004,1,5,5,WAS
Josh Childress,Atlanta Hawks,Stanford,2004,1,6,6,ATL
Luol Deng,Phoenix Suns,Duke,2004,1,7,7,PHX
Rafael Araujo,Toronto Raptors,Brigham Young,2004,1,8,8,TOR
Andre Iguodala,Philadelphia 76Ers,Arizona,2004,1,9,9,PHI
Luke Jackson,Cleveland Cavaliers,Oregon,2004,1,10,10,CLE
Andris Biedrins,Golden State Warriors,BK Skonto (Latvia),2004,1,11,11,GSW
Robert Swift,Seattle Supersonics,Bakersfield,2004,1,12,12,SSS
Sebastian Telfair,Portland Trail Blazers,Abraham Lincoln,2004,1,13,13,POR
Kris Humphries,Utah Jazz,Minnesota,2004,1,14,14,UTA
Al Jefferson,Boston Celtics,Prentiss,2004,1,15,15,BOS
Kirk Snyder,Utah Jazz,Nevada-Reno,2004,1,16,16,UTA
Josh Smith,Atlanta Hawks,Oak Hill Academy,2004,1,17,17,ATL
JR Smith,New Orleans Hornets,Saint Benedict's Preparatory School,2004,1,18,18,NOP
Dorell Wright,Miami Heat,South Kent School,2004,1,19,19,MIA
Jameer Nelson,Denver Nuggets,Saint Joseph's,2004,1,20,20,DEN
Pavel Podkolzin,Utah Jazz,Pallacanestro Varese (Italy),2004,1,21,21,UTA
Viktor Khryapa,New Jersey Nets,PBC CSKA Moscow (Russia),2004,1,22,22,NJN
Sergei Monia,Portland Trail Blazers,PBC CSKA Moscow (Russia),2004,1,23,23,POR
Delonte West,Boston Celtics,Saint Joseph's,2004,1,24,24,BOS
Tony Allen,Boston Celtics,Oklahoma State,2004,1,25,25,BOS
Kevin Martin,Sacramento Kings,Western Carolina,2004,1,26,26,SAC
Sasha Vujacic,Los Angeles Lakers,Pallalcesto Amatori Udine (Italy),2004,1,27,27,LAL
Beno Udrih,San Antonio Spurs,Olimpia Milano (Italy),2004,1,28,28,SAS
David Harrison,Indiana Pacers,Colorado,2004,1,29,29,IND
Anderson Varejao,Orlando Magic,FC Barcelona Basquet (Spain),2004,2,1,30,ORL
Jackson Vroman,Chicago Bulls,Iowa State,2004,2,2,31,CHI
Peter John Ramos,Washington Wizards,Criollos de Caguas (Puerto Rico),2004,2,3,32,WAS
Lionel Chalmers,Los Angeles Clippers,Xavier,2004,2,4,33,LAC
Donta Smith,Atlanta Hawks,Southeastern Illinois,2004,2,5,34,ATL
Andre Emmett,Seattle Supersonics,Texas Tech,2004,2,6,35,SSS
Antonio Burks,Orlando Magic,Memphis,2004,2,7,36,ORL
Royal Ivey,Atlanta Hawks,Brigham Young,2004,2,8,37,ATL
Chris Duhon,Chicago Bulls,Duke,2004,2,9,38,CHI
Albert Miralles,Toronto Raptors,Roseto Sharks (Italy),2004,2,10,39,TOR
Justin Reed,Boston Celtics,Mississippi,2004,2,11,40,BOS
David Young,Seattle Supersonics,North Carolina Central,2004,2,12,41,SSS
Viktor Sanikidze,Atlanta Hawks,JDA Dijon Basket (France),2004,2,13,42,ATL
Trevor Ariza,New York Knicks,California-Los Angeles,2004,2,14,43,NYK
Tim Pickett,New Orleans Hornets,Florida State,2004,2,15,44,NOP
Bernard Robinson,Charlotte Bobcats,Michigan,2004,2,16,45,CHA
Ha Ha,Portland Trail Blazers,Yonsei (KOR),2004,2,17,46,POR
Pape Sow,Miami Heat,Cal State-Fullerton,2004,2,18,47,MIA
Ricky Minard,Sacramento Kings,Morehead State,2004,2,19,48,SAC
Sergei Lishouk,Memphis Grizzlies,Miami (FL),2004,2,20,49,MEM
Vassilis Spanoulis,Dallas Mavericks,Maroussi B.C. (Greece),2004,2,21,50,DAL
Christian Drejer,New Jersey Nets,FC Barcelona Basquet (Spain),2004,2,22,51,NJN
Romain Sato,San Antonio Spurs,Xavier,2004,2,23,52,SAS
Matt Freije,Miami Heat,Vanderbilt,2004,2,24,53,MIA
Rickey Paulding,Detroit Pistons,Missouri,2004,2,25,54,DET
Luis Flores,Houston Rockets,Manhattan,2004,2,26,55,HOU
Marcus Douthit,Los Angeles Lakers,Providence,2004,2,27,56,LAL
Sergei Karaulov,San Antonio Spurs,Sakha-Yakutia Yakutsk (Russia),2004,2,28,57,SAS
Blake Stepp,Minnesota Timberwolves,Gonzaga,2004,2,29,58,MIN
Rashad Wright,Indiana Pacers,Georgia,2004,2,30,59,IND
LeBron James,Cleveland Cavaliers,Saint Vincent-Saint Mary,2003,1,1,1,CLE
Darko Milicic,Detroit Pistons,KK Vrsac (Serbia),2003,1,2,2,DET
Carmelo Anthony,Denver Nuggets,Syracuse,2003,1,3,3,DEN
Chris Bosh,Toronto Raptors,Georgia Tech,2003,1,4,4,TOR
Dwyane Wade,Miami Heat,Marquette,2003,1,5,5,MIA
Chris Kaman,Los Angeles Clippers,Central Michigan,2003,1,6,6,LAC
Kirk Hinrich,Chicago Bulls,Kansas,2003,1,7,7,CHI
T.J. Ford,Milwaukee Bucks,Texas,2003,1,8,8,MIL
Michael Sweetney,New York Knicks,Georgetown,2003,1,9,9,NYK
Jarvis Hayes,Washington Wizards,Georgia,2003,1,10,10,WAS
Mickael Pietrus,Golden State Warriors,Elan Bearnais Pau-Orthez (France),2003,1,11,11,GSW
Nick Collison,Seattle Supersonics,Kansas,2003,1,12,12,SSS
Marcus Banks,Memphis Grizzlies,Nevada-Las Vegas,2003,1,13,13,MEM
Luke Ridnour,Seattle Supersonics,Oregon,2003,1,14,14,SSS
Reece Gaines,Orlando Magic,Louisville,2003,1,15,15,ORL
Troy Bell,Boston Celtics,Boston College,2003,1,16,16,BOS
Zarko Cabarkapa,Phoenix Suns,KK Buducnost Podgorica (Montenegro),2003,1,17,17,PHX
David West,New Orleans Hornets,Xavier,2003,1,18,18,NOP
Sasha Pavlovic,Utah Jazz,KK Buducnost Podgorica (Montenegro),2003,1,19,19,UTA
Dahntay Jones,Boston Celtics,Duke,2003,1,20,20,BOS
Boris Diaw,Atlanta Hawks,Elan Bearnais Pau-Orthez (France),2003,1,21,21,ATL
Zoran Planinic,New Jersey Nets,KK Cibona (Croatia),2003,1,22,22,NJN
Travis Outlaw,Portland Trail Blazers,Starkville,2003,1,23,23,POR
Brian Cook,Los Angeles Lakers,Illinois,2003,1,24,24,LAL
Carlos Delfino,Detroit Pistons,Fortitudo Pallacanestro Bologna (Italy),2003,1,25,25,DET
Ndudi Ebi,Minnesota Timberwolves,Westbury Christian School,2003,1,26,26,MIN
Kendrick Perkins,Memphis Grizzlies,Clifton J. Ozen,2003,1,27,27,MEM
Leandro Barbosa,San Antonio Spurs,Associacao Bauru Basketball Team (Brazil),2003,1,28,28,SAS
Josh Howard,Dallas Mavericks,Wake Forest,2003,1,29,29,DAL
Maciej Lampe,New York Knicks,Madrid (ESP),2003,2,1,30,NYK
Jason Kapono,Cleveland Cavaliers,California-Los Angeles,2003,2,2,31,CLE
Luke Walton,Los Angeles Lakers,Arizona,2003,2,3,32,LAL
Jerome Beasley,Miami Heat,North Dakota,2003,2,4,33,MIA
Sofoklis Schortsanitis,Los Angeles Clippers,Iraklis Thessaloniki B.C. (Greece),2003,2,5,34,LAC
Szymon Szewczyk,Milwaukee Bucks,Basketball Lowen Braunschweig (Germany),2003,2,6,35,MIL
Mario Austin,Chicago Bulls,Mississippi State,2003,2,7,36,CHI
Travis Hansen,Atlanta Hawks,Brigham Young,2003,2,8,37,ATL
Steve Blake,Washington Wizards,Maryland,2003,2,9,38,WAS
Slavko Vranes,New York Knicks,KK Buducnost Podgorica (Montenegro),2003,2,10,39,NYK
Derrick Zimmerman,Golden State Warriors,Mississippi State,2003,2,11,40,GSW
Willie Green,Seattle Supersonics,Detroit Mercy,2003,2,12,41,SSS
Zaza Pachulia,Orlando Magic,Ulkerspor (Turkey),2003,2,13,42,ORL
Keith Bogans,Milwaukee Bucks,Kentucky,2003,2,14,43,MIL
Malick Badiane,Houston Rockets,TV Langen (Germany),2003,2,15,44,HOU
Matt Bonner,Chicago Bulls,Florida,2003,2,16,45,CHI
